"","degree","closeness","betweenness"
"Xu X.",2,0.00165289256198347,0
"Yadav N.",2,0.0012853470437018,0
"Yi H.",2,0.5,0
"Davies O.R.",2,0.5,1
"Pusey R.",2,0.142857142857143,0
"Fry S.C.",2,0.5,1
"Berg P.",2,0.0158730158730159,0
"Twyford A.D.",2,0.5,1
"Decho A.W.",2,0.25,0
"Donachie S.P.",2,0.25,0
"Uhlmann F.",2,0.0012531328320802,0
"Hart M.L.",2,0.5,1
"Kosinski J.",2,0.0012531328320802,0
"Kang M.",2,0.5,0
"Essl F.",2,0.5,1
"Greenleaf W.J.",2,0.25,2
"Oyarzún D.A.",2,0.5,1
"Vale P.F.",2,0.5,0
"Auer M.",2,0.5,0
"Gregory J.M.",2,0.5,0
"Blackburn C.C.",2,0.5,0
"Bradley M.",2,0.5,0
"Abad M.A.",1,0.000887311446317658,0
"Abreu-Goodger C.",1,1,0
"Adams I.R.",1,0.333333333333333,0
"Adoff G.",1,0.00132450331125828,0
"Ahn J.Y.",1,0.00132450331125828,0
"Ajendra J.",1,0.0769230769230769,0
"Annadanam A.",1,0.00132450331125828,0
"Annadanam S.",1,0.00132450331125828,0
"Aquilina M.",1,1,0
"Bandiera L.",1,1,0
"Beaven R.",1,1,0
"Begum R.A.",1,0.333333333333333,0
"Belsom A.",1,0.00125156445556946,0
"Benjamin A.B.",1,0.142857142857143,0
"Berezina T.N.",1,1,0
"Berger H.",1,0.00132450331125828,0
"Boni R.",1,0.0204081632653061,0
"Borrowman S.",1,0.00128369704749679,0
"Bressan R.B.",1,1,0
"Brown M.R.",1,0.333333333333333,0
"Burdett H.",1,1,0
"Burke M.",1,0.111111111111111,0
"Chand M.",1,0.00862068965517241,0
"Charlesworth B.",1,1,0
"Charlesworth D.",1,1,0
"Chen M.",1,1,0
"Chen Y.",1,0.00132450331125828,0
"Chickering M.",1,0.00132450331125828,0
"Christenhusz M.J.M.",1,0.333333333333333,0
"Ciancia C.",1,0.0169491525423729,0
"Corona-Torres R.",1,0.1,0
"Corripio-Miyar Y.",1,0.0208333333333333,0
"Cullinane A.",1,1,0
"D'Avino A.",1,0.00132450331125828,0
"Danmadji Nadlaou S.",1,0.00847457627118644,0
"Davies T.",1,1,0
"Dawson J.C.",1,0.2,0
"Diaby M.L.",1,0.00847457627118644,0
"Dodds K.C.",1,1,0
"Escrich A.",1,0.0303030303030303,0
"Espinoza J.L.",1,1,0
"Fa-Arun J.",1,0.142857142857143,0
"Ferrari G.",1,0.333333333333333,0
"Finlay C.M.",1,0.0769230769230769,0
"Fischer L.",1,0.00125156445556946,0
"Fishman O.",1,0.00132450331125828,0
"Fofana T.O.",1,0.00847457627118644,0
"Forbrig C.",1,0.00125156445556946,0
"Forrest L.L.",1,0.333333333333333,0
"Fosado Y.A.G.",1,1,0
"Franková L.",1,0.333333333333333,0
"Gao F.",1,0.00161030595813205,0
"Gao Y.",1,0.142857142857143,0
"Garfinkel C.I.",1,1,0
"Gordon-Keylock S.",1,1,0
"Grabowski P.",1,0.00125156445556946,0
"Grosbois J.",1,0.125,0
"Gsell P.-S.",1,0.00847457627118644,0
"Gurusaran M.",1,0.333333333333333,0
"Hall Y.",1,0.00847457627118644,0
"Heldrich J.",1,0.00132450331125828,0
"Hoffmann S.A.",1,0.00141242937853107,0
"Holland I.",1,0.037037037037037,0
"Houlder E.L.",1,1,0
"Im J.",1,0.00132450331125828,0
"Innes C.",1,0.111111111111111,0
"Johnston E.J.",1,0.02,0
"Kantelberg O.",1,0.025,0
"Kleinjan D.-J.",1,0.0204081632653061,0
"Kolbowski L.",1,0.00125156445556946,0
"Koster K.J.",1,0.142857142857143,0
"Kucharski A.J.",1,0.00847457627118644,0
"Lansana Kaba I.",1,0.00847457627118644,0
"Latombe G.",1,0.333333333333333,0
"Lebedev M.",1,0.142857142857143,0
"Li M.K.",1,0.00132450331125828,0
"Lin L.",1,1,0
"Liu J.",1,0.2,0
"Longini I.M.",1,0.00847457627118644,0
"Lopez S.L.",1,0.0075187969924812,0
"Luo J.",1,0.00132450331125828,0
"Luo Y.-H.",1,0.2,0
"Makori A.",1,0.0333333333333333,0
"McCulloch L.H.",1,0.00132450331125828,0
"McHugh T.",1,1,0
"Medina-Pritchard B.",1,0.000887311446317658,0
"Melaugh G.",1,1,0
"Mercy G.",1,0.00132450331125828,0
"Merzbacher C.",1,0.333333333333333,0
"Mohamad R.",1,0.024390243902439,0
"Moses T.",1,0.142857142857143,0
"Moule M.G.",1,0.142857142857143,0
"Nikolados E.-M.",1,0.333333333333333,0
"Nishii K.",1,1,0
"Orosa-Puente B.",1,1,0
"Osmond H.L.",1,1,0
"O’Reilly F.J.",1,0.00125156445556946,0
"O’Toole Á.",1,0.00862068965517241,0
"Pérez-López A.M.",1,0.00125156445556946,0
"Raghavan A.R.",1,0.00132450331125828,0
"Richardson J.",1,1,0
"Robert A.",1,0.00847457627118644,0
"Rosario R.",1,0.125,0
"Rullmann E.",1,0.00125156445556946,0
"Saidou Barry M.",1,0.00847457627118644,0
"Sakoba K.",1,0.00847457627118644,0
"Seebens H.",1,0.333333333333333,0
"Song H.",1,0.00161030595813205,0
"Soumah O.",1,0.00847457627118644,0
"Stamatiou K.",1,1,0
"Sun X.",1,0.00132450331125828,0
"Sutherland C.",1,1,0
"Sutherland T.E.",1,0.0769230769230769,0
"Swaffer M.P.",1,0.166666666666667,0
"Sylla L.",1,0.00847457627118644,0
"Szavits-Nossan J.",1,1,0
"Thierry A.",1,0.00132450331125828,0
"Tollis S.",1,1,0
"Touré A.",1,0.00847457627118644,0
"Tsui Lok Hei J.",1,0.00847457627118644,0
"Ulaeto D.",1,0.00862068965517241,0
"Vale-Silva L.A.",1,0.00132450331125828,0
"Walls L.E.",1,0.0303030303030303,0
"Watson C.H.",1,0.00847457627118644,0
"White M.F.M.",1,1,0
"Williams T.N.",1,1,0
"Wilson J.M.",1,0.00515463917525773,0
"Zhang S.",1,1,0
"de Oliveira T.",1,0.00862068965517241,0
"Buck A.H.",1,1,0
"Dunn K.E.",1,1,0
"Menolascina F.",1,1,0
"Denholm B.",1,1,0
"Rybtsov S.",1,1,0
